name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Arc-en-ciel,Arc-en-ciel,Booba,2019-05-16,169846,54,0.799,0.583,0.418,0.0,0.109,-10.898,0.0451,129.915,0.357,4,5,0,spotify:track:07qHCBBSRswIsfs0waYdjC,2019,2022,gamma
En attente,En attente,Zkr,2021-12-13,179580,40,0.27,0.717,0.559,4.21e-06,0.139,-8.771,0.366,143.067,0.542,4,8,0,spotify:track:5cZAc2FBROC8ARl1jj9eMt,2021,2022,gamma
Casseurs Flowters Infinity,Civilisation,Orelsan,2021-11-19,188968,54,0.481,0.811,0.768,0.0,0.0867,-4.896,0.301,99.956,0.875,4,1,1,spotify:track:4zNegI08Ey41oFdfaiZinq,2021,2022,gamma
Au fond d'ma tête,Enna,PLK,2020-08-28,164786,55,0.601,0.568,0.581,0.0,0.0962,-8.054,0.228,69.091,0.639,4,3,0,spotify:track:3V2KQy8tTU9AdHxs9FKCAc,2020,2022,gamma
Street Life - Single Edit,Gold,The Crusaders,2007,332133,52,0.603,0.505,0.625,3.98e-05,0.0823,-8.195,0.0686,110.791,0.608,4,5,0,spotify:track:6Llr9PVC1cirKUwu7Fle83,2007,2022,gamma
Ça Va Pas Être Possible...,L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,53453,41,0.283,0.515,0.53,0.0,0.529,-19.069,0.893,67.431,0.27,3,1,1,spotify:track:4zj8DE8qnT2uBpnFABjwkk,2021,2022,gamma
STUNTMEN (feat. Alpha Wann & Wit.),L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,204000,54,0.0628,0.884,0.626,1.71e-05,0.155,-7.654,0.27,130.061,0.637,4,8,1,spotify:track:1YEs58i4G68twRzYaFEu7T,2021,2022,gamma
Train de vie (feat. PLK),Virus: avant l'album,Leto,2020-04-17,187146,58,0.314,0.739,0.585,0.0,0.0998,-7.605,0.195,143.849,0.708,4,1,1,spotify:track:2VXeQ7moo4zfT6EFO3Cwse,2020,2022,gamma
BURNING MAN (feat. Lomepal),TRINITY,Laylow,2020-02-28,202173,56,0.339,0.699,0.565,1.48e-06,0.12,-8.871,0.14,135.13,0.367,4,4,0,spotify:track:4oyie5DzQjSNndZ5OA1Ulx,2020,2022,gamma
La vie qu'on mène,Destin,Ninho,2019-03-22,193443,73,0.687,0.8,0.756,2.06e-06,0.111,-4.4,0.0367,113.204,0.456,3,7,0,spotify:track:0Jh6iWjna1wk5le0Ahn7No,2019,2022,gamma
