name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Sicilia,PLANET GOLD,Sofiane Pamart,2021-01-08,266813,46,0.974,0.324,0.109,0.913,0.115,-21.9,0.0371,68.9,0.052,4,5,0,spotify:track:7g5V9Wk2hog46vt68Y5ked,2021,2021,beta
Le temps de l'amour,Minuit,Bon Entendeur,2021-06-25,191453,0,0.144,0.599,0.739,0.0,0.274,-7.319,0.0461,119.029,0.439,4,8,0,spotify:track:0StkNMBnuzXqqVqpu7e8SE,2021,2021,beta
Last Tango for Astor,Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,378000,14,0.896,0.336,0.235,0.0934,0.111,-14.981,0.0365,147.146,0.176,3,2,0,spotify:track:5LJTKMQuYhiOrCqRaGqOka,2005,2021,beta
I Love To Love,Minuit,Bon Entendeur,2021-06-25,180653,0,0.0213,0.54,0.768,0.0318,0.163,-7.443,0.0531,108.047,0.552,4,9,1,spotify:track:7i2njN7B4YlicdFhVRX4nb,2021,2021,beta
"Tango Suite, Pt. III",Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,531266,14,0.775,0.582,0.367,0.712,0.146,-14.364,0.0461,128.25,0.668,4,9,0,spotify:track:0SMi63irCGe6DMRqh74pe7,2005,2021,beta
Ha Long Bay,PLANET GOLD,Sofiane Pamart,2021-01-08,128840,46,0.947,0.13,0.211,0.91,0.105,-18.699,0.0449,72.242,0.108,4,5,0,spotify:track:4GZr04SP5NM8ekN3WOAVr9,2021,2021,beta
Goner,Blurryface,Twenty One Pilots,2015-05-15,236733,61,0.194,0.565,0.437,7.14e-06,0.0656,-7.68,0.0403,96.132,0.217,3,6,0,spotify:track:5P3yUXUC9rZPJPNmYGKEAz,2015,2021,beta
Drops of Sunrise,SUBA,Omar Sosa,2021-10-22,279000,12,0.817,0.698,0.485,0.225,0.132,-10.642,0.0471,142.94,0.381,4,5,0,spotify:track:0UsiU329tIzcodVWAfXBp0,2021,2021,beta
Message Man,Blurryface,Twenty One Pilots,2015-05-15,240080,64,0.0897,0.715,0.838,0.0,0.15,-6.077,0.118,120.007,0.497,4,2,0,spotify:track:4Oyl6oYSNeeZZP0OAxPVaU,2015,2021,beta
Le Caire,PLANET GOLD,Sofiane Pamart,2021-01-08,206880,50,0.969,0.223,0.13,0.917,0.109,-23.76,0.0606,74.787,0.139,4,7,0,spotify:track:5bbWnHNX55JJYgMhFwIQm7,2021,2021,beta
San Francisco,PLANET GOLD,Sofiane Pamart,2021-01-08,175474,45,0.964,0.559,0.0521,0.923,0.101,-22.96,0.0462,160.065,0.0353,4,0,1,spotify:track:6tuyF0lFVyMLFingbfmNCf,2021,2021,beta
Not Today,Blurryface,Twenty One Pilots,2015-05-15,238040,61,0.0605,0.77,0.706,0.00182,0.0985,-4.705,0.0302,115.011,0.527,4,2,1,spotify:track:7qxjGHW485TL8ciwkHD5MK,2015,2021,beta
The Judge,Blurryface,Twenty One Pilots,2015-05-15,297760,65,0.177,0.423,0.797,0.0,0.137,-4.659,0.124,82.617,0.592,4,0,1,spotify:track:1lguQJjlNrIOoOylYVZN3M,2015,2021,beta
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,88,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,0.494,4,10,1,spotify:track:5uCax9HTNlzGybIStD3vDh,2016,2021,beta
Hometown,Blurryface,Twenty One Pilots,2015-05-15,234946,66,0.0577,0.683,0.753,0.00208,0.357,-5.564,0.0317,120.03,0.389,4,2,0,spotify:track:40sRwFjfrRnaTdYPJIg4CP,2015,2021,beta
Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,88,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,0.648,4,4,0,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,2015,2021,beta
