name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
YOUR,LETTER,Sofiane Pamart,2022-02-11,136133,46,0.952,0.194,0.0779,0.909,0.229,-20.728,0.0359,68.57,0.0395,3,8,0,spotify:track:4OX7XFcfGx1SFhvQnfeUsh,2022,2022,delta
O Dom (feat. Gaël Faye) - Summer Edit,O Dom (feat. Gaël Faye) [Summer Edit],Flavia Coelho,2015-06-08,192343,35,0.129,0.794,0.848,0.0,0.263,-5.98,0.0521,87.981,0.814,4,10,0,spotify:track:72bmGq8Vz6eIDzlXLfwOBU,2015,2022,delta
ME,LETTER,Sofiane Pamart,2022-02-11,206200,43,0.937,0.275,0.239,0.915,0.138,-18.436,0.037,102.709,0.121,3,0,0,spotify:track:2n4jgtNldMzxr84esD3jSV,2022,2022,delta
Histoire d'amour,Lundi Méchant,Gaël Faye,2020-11-06,211453,52,0.774,0.755,0.441,0.0,0.0902,-8.998,0.12,113.967,0.761,4,0,0,spotify:track:1O5B2gDKqW46umrfQjTsxs,2020,2022,delta
Réplique,L'art de la défaite,Batlik,2019-09-13,278555,7,0.213,0.797,0.351,0.143,0.0901,-11.535,0.0903,98.018,0.489,4,2,0,spotify:track:4k3JXMOKG8JYDTKIpVbjU6,2019,2022,delta
Nelly,Nelly,Pomme,2022-06-16,205333,32,0.902,0.56,0.341,0.0193,0.134,-10.791,0.0336,120.166,0.164,4,4,0,spotify:track:6GAG3B6iYZOy1Wf0aMlkvl,2022,2022,delta
Azul Celeste,Azul Celeste,Expresso Transatlântico,2021-10-29,243500,29,0.554,0.36,0.814,0.719,0.0605,-4.581,0.0457,91.981,0.467,4,7,0,spotify:track:3IbjidNDIGBIzaeznYAbMr,2021,2022,delta
Already,Symbiosis,Hydrogen Sea,2021-01-29,194720,41,0.981,0.369,0.109,4.13e-05,0.0954,-15.594,0.0425,155.531,0.202,4,10,0,spotify:track:0Xin65nBxHos5WK8pHc7qG,2021,2022,delta
Men Should Never Fall In Love,Face To Faith,GRANDGEORGE,2018-10-26,286080,47,0.0382,0.651,0.381,0.000366,0.107,-9.032,0.248,144.81,0.392,4,2,1,spotify:track:57g4FPWM67egu3ZbKE3Du5,2018,2022,delta
The Arrival of Baby Harry,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,265066,58,0.898,0.0761,0.042,0.648,0.134,-24.631,0.0396,80.529,0.0349,3,4,0,spotify:track:4ir6xoRDxJmUikNTi0t7Cp,2001,2022,delta
País Azucar,Good Good Things,Blundetto,2020-06-18,235631,42,0.9,0.77,0.522,0.934,0.125,-6.021,0.0427,149.561,0.863,4,7,0,spotify:track:5V0KqLAYmWsb1dUWqvczld,2020,2022,delta
Out of Town,Off the Wall,Jil Is Lucky,2020-03-06,240760,29,0.514,0.4,0.407,0.0207,0.0806,-12.588,0.0339,89.337,0.682,4,10,0,spotify:track:2tD7uvEnhfyERKGRJxqcQJ,2020,2022,delta
Dyade,Contre-Temps,Flavien Berger,2018-09-28,262706,38,0.986,0.296,0.078,0.473,0.0966,-18.653,0.0414,68.433,0.0511,4,4,1,spotify:track:2c4CUbP8y34uOM01lEopmV,2018,2022,delta
Riez,Multitude,Stromae,2022-03-03,201160,48,0.564,0.522,0.533,0.0,0.119,-8.134,0.179,127.83,0.659,5,9,0,spotify:track:4R0voYthb1112JJiUCeyBA,2022,2022,delta
Pardonne-moi,Pardonne-moi,ELISA ERKA,2019-09-06,192992,39,0.865,0.612,0.292,0.0,0.105,-7.91,0.047,103.105,0.616,4,9,0,spotify:track:4Ugk4dgmZMxJ122TFwhfFh,2019,2022,delta
By the Sun,Out,Kimberose,2021-01-29,201148,48,0.969,0.537,0.155,0.000388,0.108,-13.861,0.0452,80.626,0.553,4,6,0,spotify:track:2pqqbCr11F3XA2OTIwq0IJ,2021,2022,delta
Déclaration,Multitude,Stromae,2022-03-03,184720,46,0.244,0.469,0.526,0.0,0.0759,-8.202,0.266,152.678,0.464,3,2,0,spotify:track:78sMHGQBuBcD2a9cmwHghu,2022,2022,delta
INTERSTELLAR,NEPTUNE TERMINUS,Youssoupha,2021-03-20,205960,41,0.235,0.571,0.518,5.73e-05,0.136,-9.595,0.192,145.18,0.186,4,8,0,spotify:track:5jTToWM60oi41D99jrbxyr,2021,2022,delta
Les jours heureux,Paradis,Ben Mazué,2020-11-06,183426,52,0.833,0.542,0.492,2.53e-05,0.238,-10.733,0.218,115.064,0.707,4,9,0,spotify:track:7dcU60xw21ttxT6md14OLz,2020,2022,delta
Kerozen,Lundi Méchant,Gaël Faye,2020-11-06,212173,41,0.622,0.736,0.451,2.24e-05,0.125,-10.656,0.0368,112.005,0.39,4,1,0,spotify:track:0q28vSm8gKQwhSDz7RLZAB,2020,2022,delta
DEAR,LETTER,Sofiane Pamart,2022-02-11,158853,51,0.965,0.334,0.15,0.901,0.108,-21.788,0.0488,62.093,0.0661,4,3,0,spotify:track:2jcCzS2jXeQARqpYFj6mVI,2022,2022,delta
Parce que la vie,La nuit du réveil,Oxmo Puccino,2019-09-06,166875,33,0.0949,0.825,0.503,2.69e-06,0.305,-7.826,0.197,127.952,0.404,4,9,0,spotify:track:4A9970dJ1GkM2CQKl2lz35,2019,2022,delta
NOVEMBER,O,LAAKE,2020-03-27,234262,36,0.786,0.383,0.561,0.617,0.121,-10.185,0.0699,90.207,0.198,4,8,0,spotify:track:7nxcSLLxxysKEPy8NioBNP,2020,2022,delta
The Passers-By (Les Passantes),Jehro,Jehro,2007-02-01,298293,31,0.161,0.946,0.397,0.000137,0.0739,-10.605,0.0427,116.032,0.816,4,0,0,spotify:track:3XSd6YVvWys5huXGMVcRL6,2007,2022,delta
Santé,Santé,Stromae,2021-10-15,190011,62,0.123,0.641,0.681,3.36e-05,0.0425,-6.418,0.354,138.095,0.836,3,0,1,spotify:track:3vXnuFnC5RhPGwsFi0ORcI,2021,2022,delta
LOVE,LETTER,Sofiane Pamart,2022-02-11,257000,52,0.95,0.366,0.131,0.928,0.11,-21.482,0.0468,110.468,0.0978,3,0,0,spotify:track:56GRHtqryiDxUbhlVntrf4,2022,2022,delta
Pili pili sur un croissant au beurre,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,341720,40,0.568,0.495,0.593,0.000208,0.0896,-9.41,0.122,100.125,0.5,4,6,0,spotify:track:4Bl6cd21aPJrLVnRmW0TbW,2013,2022,delta
Balade brésilienne,Des fleurs,Gaël Faye,2018-11-02,276840,55,0.337,0.834,0.7,0.000313,0.126,-5.808,0.107,149.995,0.699,4,11,0,spotify:track:1ctwXQLrWGY67DSxQgnNlt,2018,2022,delta
Nara,PLANET GOLD,Sofiane Pamart,2021-01-08,131920,56,0.952,0.487,0.0994,0.911,0.095,-20.636,0.0384,65.395,0.0957,4,1,0,spotify:track:0scyQTSVzVYz9adJPVBnJa,2021,2022,delta
Plumes,Nomad's Land,Dooz Kawa,2020-01-31,178785,36,0.823,0.456,0.542,0.0,0.145,-6.447,0.0439,108.484,0.587,4,9,0,spotify:track:2HlGXNjUn46FZdXVp26Ec5,2020,2022,delta
PUBLIC,LETTER,Sofiane Pamart,2022-02-11,222440,44,0.934,0.286,0.174,0.897,0.152,-20.689,0.037,89.061,0.104,4,5,0,spotify:track:0ZRq2H4PXUfT2hxI3LM7HB,2022,2022,delta
Chicago,PLANET,Sofiane Pamart,2019-11-22,255560,36,0.973,0.252,0.255,0.934,0.106,-18.793,0.0423,60.615,0.136,4,3,0,spotify:track:0hOGmJwbRMppkZkchx2tvK,2019,2022,delta
Des rêves,Des rêves,P.R2B,2020-09-09,220600,29,0.682,0.748,0.568,0.0,0.134,-9.438,0.421,170.019,0.356,4,0,1,spotify:track:1EUX6qSWN5p8lF1v0oNNK8,2020,2022,delta
Grand le ciel,La maison des ailes,Art Mengo,2018-10-19,226917,19,0.617,0.54,0.471,0.00105,0.0716,-12.185,0.0414,90.025,0.245,4,4,0,spotify:track:7s6zK6ZrUvPo8Bg7PNU8zg,2018,2022,delta
Rock of Lazarus,Anagnorisis,Asaf Avidan,2020-09-11,240044,21,0.254,0.711,0.511,3e-05,0.113,-8.686,0.239,149.834,0.49,3,0,0,spotify:track:1qjEkfbTiSFbL3acHjG7h7,2020,2022,delta
Mon amour,Multitude,Stromae,2022-03-03,172106,51,0.386,0.476,0.609,0.0,0.0891,-8.869,0.309,172.384,0.887,4,11,1,spotify:track:6lBCjH1gpm5sk9KBll9akT,2022,2022,delta
Bonne journée,Multitude,Stromae,2022-03-03,192040,50,0.492,0.841,0.493,0.0,0.0927,-9.018,0.344,112.97,0.682,4,3,0,spotify:track:0i0ESj6M9eV8ck3LP07QzD,2022,2022,delta
Everything Matters,The Gods We Can Touch,AURORA,2022-01-21,213906,45,0.657,0.453,0.325,6.53e-05,0.0697,-9.758,0.0484,160.38,0.324,3,7,0,spotify:track:3Ra6DeGyWMBxHHbpchzPKU,2022,2022,delta
Kongo Feat Gaël Faye,Earthquake (Edition Deluxe),Kolinga,2019-04-05,212706,54,0.77,0.765,0.596,0.0279,0.14,-10.769,0.0417,106.95,0.74,4,2,1,spotify:track:13jvw0CeBooDwdHktqQsuS,2019,2022,delta
Borealis,BOREALIS,Sofiane Pamart,2021-09-30,131018,56,0.979,0.315,0.0622,0.878,0.133,-20.977,0.0392,68.216,0.111,4,4,0,spotify:track:5B0LwnnmQTNMW4KLPukmdN,2021,2022,delta
Wooden Arms,Wooden Arms,Patrick Watson,2009-04-28,188320,39,0.955,0.473,0.115,0.577,0.0959,-20.65,0.0475,127.22,0.15,3,6,0,spotify:track:6GqNelRP3wWPMTxYLQlPse,2009,2022,delta
Sans la nommer,Les Amis De Georges,Georges Moustaki,1974-01-01,184773,42,0.839,0.602,0.326,0.0,0.123,-15.198,0.0655,99.994,0.437,4,2,0,spotify:track:5FjZh9a0LyByoAkKBAkwjO,1974,2022,delta
Chalouper,Lundi Méchant,Gaël Faye,2020-11-06,215240,61,0.348,0.792,0.518,1.81e-05,0.103,-9.63,0.0491,100.004,0.526,4,10,0,spotify:track:4P89bNZVTCmu3zT0IBNLS8,2020,2022,delta
Promenades,L'art de la défaite,Batlik,2019-09-13,217124,7,0.133,0.812,0.433,0.000144,0.096,-11.619,0.108,92.045,0.274,4,7,0,spotify:track:5DBQkJq8dLkZdqH0NACgeE,2019,2022,delta
Tôt le matin,Rythmes et botanique,Gaël Faye,2017-04-14,224082,58,0.458,0.474,0.559,3.99e-06,0.0794,-7.131,0.267,150.135,0.417,4,10,0,spotify:track:44P75p1gtECmB1T1eJ7tFy,2017,2022,delta
Marée Haute,Mauve Jacaranda,Gaël Faye,2022-07-01,227293,28,0.586,0.716,0.549,0.000108,0.0974,-6.765,0.0595,91.415,0.497,3,2,1,spotify:track:4P6mRnahgmcyPLZxymd1AA,2022,2022,delta
Harry's Wondrous World,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,321066,62,0.881,0.227,0.264,0.9,0.114,-14.905,0.0325,84.986,0.228,4,0,1,spotify:track:4lg0h4AJhPMxbO3VMpbUqS,2001,2022,delta
Festa Tocandira,"Naga, Pt.1",Flèche Love,2019-03-01,301466,31,0.301,0.354,0.332,0.00242,0.0746,-11.241,0.0398,96.29,0.0363,4,6,0,spotify:track:0zJPRZTY14qKUQMoQax5nU,2019,2022,delta
River Man,Five Leaves Left,Nick Drake,1969-07-03,258680,55,0.852,0.473,0.118,0.735,0.112,-20.098,0.0339,114.521,0.0921,5,8,1,spotify:track:3Uh7rAb7F0XGVpEEDwfH1k,1969,2022,delta
Fils de joie,Multitude,Stromae,2022-03-03,195440,63,0.46,0.547,0.638,4.15e-06,0.0775,-7.789,0.25,62.526,0.882,4,1,1,spotify:track:6w2jx3gzQAtoKP22czcANv,2022,2022,delta
Taxiphone,Mauve Jacaranda,Gaël Faye,2022-07-01,233306,41,0.194,0.63,0.563,0.0,0.176,-6.697,0.363,149.703,0.183,4,4,0,spotify:track:01hjcPZM9cjwelSoM9JZQh,2022,2022,delta
Respire,Lundi Méchant,Gaël Faye,2020-11-06,191840,59,0.514,0.761,0.437,0.0,0.285,-10.053,0.157,120.072,0.366,4,2,0,spotify:track:2qH3Ulxrpemyt2ZIjlSJ7J,2020,2022,delta
FOREVER,LETTER,Sofiane Pamart,2022-02-11,107800,47,0.987,0.383,0.0647,0.94,0.102,-22.137,0.054,68.621,0.123,3,2,0,spotify:track:6j5lLFlzdEzQJjNamlnLfl,2022,2022,delta
Où vont les fleurs,The Essential Marlene Dietrich,Marlene Dietrich,1991-01-01,217293,35,0.891,0.641,0.0943,4.69e-05,0.115,-17.731,0.0452,128.433,0.595,4,7,1,spotify:track:48WCF9E4567maRpSiU9iAg,1991,2022,delta
